idkey,Site,Sample,Wet_weight,Dry_weight,Canopy_Depth,hours,minutes,seconds,n
Basin_Asco1b,Basin,Asco1b,39.0,13.3,1.0,13,51,31,40
Basin_Asco1c,Basin,Asco1c,39.0,13.3,1.0,15,19,45,40
Basin_Asco1,Basin,Asco1,39.0,13.3,1.0,10,53,31,40
Basin_Asco2b,Basin,Asco2b,83.3,28.7,2.8,13,58,50,40
Basin_Asco2c,Basin,Asco2c,83.3,28.7,2.8,15,27,48,40
Basin_Asco2,Basin,Asco2,83.3,28.7,2.8,11,0,12,40
Basin_Asco3b,Basin,Asco3b,161.5,47.4,4.0,14,6,40,40
Basin_Asco3c,Basin,Asco3c,161.5,47.4,4.0,15,35,14,40
Basin_Asco3,Basin,Asco3,161.5,47.4,4.0,11,16,56,40
Basin_Asco4b,Basin,Asco4b,429.3,123.8,6.6,14,18,26,40
Basin_Asco4c,Basin,Asco4c,429.3,123.8,6.6,15,43,22,40
Basin_Asco4,Basin,Asco4,429.3,123.8,6.6,11,25,36,40
Basin_Asco5b,Basin,Asco5b,851.4,252.2,9.4,14,26,53,40
Basin_Asco5c,Basin,Asco5c,851.4,252.2,9.4,15,51,1,40
Basin_Asco5,Basin,Asco5,851.4,252.2,9.4,11,32,37,40
Basin_Fucus1b,Basin,Fucus1b,34.0,7.3,2.0,14,35,9,40
Basin_Fucus1c,Basin,Fucus1c,34.0,7.3,2.0,15,59,40,40
Basin_Fucus1,Basin,Fucus1,34.0,7.3,2.0,12,7,10,40
Basin_Fucus2b,Basin,Fucus2b,70.8,17.7,4.2,14,44,20,41
Basin_Fucus2c,Basin,Fucus2c,70.8,17.7,4.2,16,8,5,41
Basin_Fucus2,Basin,Fucus2,70.8,17.7,4.2,12,15,3,40
Basin_Fucus3b,Basin,Fucus3b,169.6,37.7,6.0,14,53,11,40
Basin_Fucus3c,Basin,Fucus3c,169.6,37.7,6.0,16,16,26,40
Basin_Fucus3,Basin,Fucus3,169.6,37.7,6.0,12,23,4,40
Basin_Fucus4b,Basin,Fucus4b,304.0,66.6,7.8,15,2,27,40
Basin_Fucus4c,Basin,Fucus4c,304.0,66.6,7.8,16,24,40,40
Basin_Fucus4,Basin,Fucus4,304.0,66.6,7.8,12,30,35,40
Basin_Fucus5a,Basin,Fucus5a,635.9,125.4,11.8,12,39,58,40
Basin_Fucus5b,Basin,Fucus5b,635.9,125.4,11.8,15,10,24,40
Basin_Fucus5c,Basin,Fucus5c,635.9,125.4,11.8,16,33,7,40
Basin_Fucus5,Basin,Fucus5,635.9,125.4,11.8,11,49,5,40
Pemaquid_Asco1,Pemaquid,Asco1,42.4,11.2,1.5,10,32,50,40
Pemaquid_Asco2,Pemaquid,Asco2,96.4,26.4,2.5,10,40,4,40
Pemaquid_Asco3,Pemaquid,Asco3,129.5,34.0,3.0,10,47,22,40
Pemaquid_Asco4,Pemaquid,Asco4,174.9,,4.5,11,1,37,40
Pemaquid_Asco5,Pemaquid,Asco5,181.6,45.2,5.0,11,30,9,43
Pemaquid_Asco6,Pemaquid,Asco6,343.0,,6.0,11,37,57,42
Pemaquid_Asco7,Pemaquid,Asco7,409.6,,7.0,11,46,35,40
Pemaquid_Asco8,Pemaquid,Asco8,529.2,135.4,7.5,11,56,4,40
Pemaquid_Fucus1,Pemaquid,Fucus1,33.0,5.6,0.8,14,29,56,40
Pemaquid_Fucus2,Pemaquid,Fucus2,50.2,8.3,1.5,14,36,34,40
Pemaquid_Fucus4,Pemaquid,Fucus4,120.5,,2.5,14,54,47,40
Pemaquid_Fucus5,Pemaquid,Fucus5,199.0,35.4,2.8,15,16,18,40
Pemaquid_Fucus6,Pemaquid,Fucus6,249.3,,5.6,15,24,43,40
