idkey,Site,Sample,Wet_weight,Dry_weight,Canopy_Depth,hours,minutes,seconds,n
Basin_Asco1b,Basin,Asco1b,39.0,13.3,1.0,13.0,51.0,31.0,40.0
Basin_Asco1c,Basin,Asco1c,39.0,13.3,1.0,15.0,19.0,45.0,40.0
Basin_Asco1,Basin,Asco1,39.0,13.3,1.0,10.0,53.0,31.0,40.0
Basin_Asco2b,Basin,Asco2b,83.3,28.7,2.8,13.0,58.0,50.0,40.0
Basin_Asco2c,Basin,Asco2c,83.3,28.7,2.8,15.0,27.0,48.0,40.0
Basin_Asco2,Basin,Asco2,83.3,28.7,2.8,11.0,0.0,12.0,40.0
Basin_Asco3b,Basin,Asco3b,161.5,47.4,4.0,14.0,6.0,40.0,40.0
Basin_Asco3c,Basin,Asco3c,161.5,47.4,4.0,15.0,35.0,14.0,40.0
Basin_Asco3,Basin,Asco3,161.5,47.4,4.0,11.0,16.0,56.0,40.0
Basin_Asco4b,Basin,Asco4b,429.3,123.8,6.6,14.0,18.0,26.0,40.0
Basin_Asco4c,Basin,Asco4c,429.3,123.8,6.6,15.0,43.0,22.0,40.0
Basin_Asco4,Basin,Asco4,429.3,123.8,6.6,11.0,25.0,36.0,40.0
Basin_Asco5b,Basin,Asco5b,851.4,252.2,9.4,14.0,26.0,53.0,40.0
Basin_Asco5c,Basin,Asco5c,851.4,252.2,9.4,15.0,51.0,1.0,40.0
Basin_Asco5,Basin,Asco5,851.4,252.2,9.4,11.0,32.0,37.0,40.0
Basin_Fucus1b,Basin,Fucus1b,34.0,7.3,2.0,14.0,35.0,9.0,40.0
Basin_Fucus1c,Basin,Fucus1c,34.0,7.3,2.0,15.0,59.0,40.0,40.0
Basin_Fucus1,Basin,Fucus1,34.0,7.3,2.0,12.0,7.0,10.0,40.0
Basin_Fucus2b,Basin,Fucus2b,70.8,17.7,4.2,14.0,44.0,20.0,41.0
Basin_Fucus2c,Basin,Fucus2c,70.8,17.7,4.2,16.0,8.0,5.0,41.0
Basin_Fucus2,Basin,Fucus2,70.8,17.7,4.2,12.0,15.0,3.0,40.0
Basin_Fucus3b,Basin,Fucus3b,169.6,37.7,6.0,14.0,53.0,11.0,40.0
Basin_Fucus3c,Basin,Fucus3c,169.6,37.7,6.0,16.0,16.0,26.0,40.0
Basin_Fucus3,Basin,Fucus3,169.6,37.7,6.0,12.0,23.0,4.0,40.0
Basin_Fucus4b,Basin,Fucus4b,304.0,66.6,7.8,15.0,2.0,27.0,40.0
Basin_Fucus4c,Basin,Fucus4c,304.0,66.6,7.8,16.0,24.0,40.0,40.0
Basin_Fucus4,Basin,Fucus4,304.0,66.6,7.8,12.0,30.0,35.0,40.0
Basin_Fucus5a,Basin,Fucus5a,635.9,125.4,11.8,12.0,39.0,58.0,40.0
Basin_Fucus5b,Basin,Fucus5b,635.9,125.4,11.8,15.0,10.0,24.0,40.0
Basin_Fucus5c,Basin,Fucus5c,635.9,125.4,11.8,16.0,33.0,7.0,40.0
Basin_Fucus5,Basin,Fucus5,635.9,125.4,11.8,11.0,49.0,5.0,40.0
Pemaquid_Asco1,Pemaquid,Asco1,42.4,11.2,1.5,10.0,32.0,50.0,40.0
Pemaquid_Asco2,Pemaquid,Asco2,96.4,26.4,2.5,10.0,40.0,4.0,40.0
Pemaquid_Asco3,Pemaquid,Asco3,129.5,34.0,3.0,10.0,47.0,22.0,40.0
Pemaquid_Asco4,Pemaquid,Asco4,174.9,,4.5,11.0,1.0,37.0,40.0
Pemaquid_Asco5,Pemaquid,Asco5,181.6,45.2,5.0,11.0,30.0,9.0,43.0
Pemaquid_Asco6,Pemaquid,Asco6,343.0,,6.0,11.0,37.0,57.0,42.0
Pemaquid_Asco7,Pemaquid,Asco7,409.6,,7.0,11.0,46.0,35.0,40.0
Pemaquid_Asco8,Pemaquid,Asco8,529.2,135.4,7.5,11.0,56.0,4.0,40.0
Pemaquid_Fucus1,Pemaquid,Fucus1,33.0,5.6,0.8,14.0,29.0,56.0,40.0
Pemaquid_Fucus2,Pemaquid,Fucus2,50.2,8.3,1.5,14.0,36.0,34.0,40.0
Pemaquid_Fucus4,Pemaquid,Fucus4,120.5,,2.5,14.0,54.0,47.0,40.0
Pemaquid_Fucus5,Pemaquid,Fucus5,199.0,35.4,2.8,15.0,16.0,18.0,40.0
Pemaquid_Fucus6,Pemaquid,Fucus6,249.3,,5.6,15.0,24.0,43.0,40.0
Pemaquid_Fucus7,Pemaquid,Fucus7,401.6,,7.2,15.0,31.0,45.0,40.0
Pemaquid_Fucus3,Pemaquid,Fucus3,87.2,15.2,3.0,14.0,48.0,55.0,40.0
Pemaquid_Fucus8,Pemaquid,Fucus8,514.2,82.1,8.6,15.0,37.0,41.0,40.0
Pemaquid_Asco9,Pemaquid,Asco9,301.1,,4.1,16.0,13.0,22.0,8.0
Pemaquid_Fucus9,Pemaquid,Fucus9,278.9,,5.4,16.0,17.0,41.0,8.0
Pemaquid_DAsco1,Pemaquid,DAsco1,194.5,,3.0,10.0,7.0,37.0,40.0
Pemaquid_DAsco2,Pemaquid,DAsco2,194.5,,3.0,11.0,12.0,33.0,40.0
Pemaquid_DAsco3,Pemaquid,DAsco3,194.5,,3.0,12.0,4.0,41.0,40.0
Pemaquid_DAsco4,Pemaquid,DAsco4,194.5,,3.0,13.0,14.0,34.0,40.0
Pemaquid_DAsco5,Pemaquid,DAsco5,194.5,,3.0,14.0,7.0,45.0,40.0
Pemaquid_DAsco6,Pemaquid,DAsco6,194.5,,3.0,15.0,1.0,55.0,40.0
Pemaquid_DFucus1,Pemaquid,DFucus1,184.1,,2.4,10.0,15.0,32.0,40.0
Pemaquid_DFucus2,Pemaquid,DFucus2,184.1,,2.4,11.0,20.0,10.0,41.0
Pemaquid_DFucus3,Pemaquid,DFucus3,184.1,,2.4,12.0,11.0,58.0,41.0
Pemaquid_DFucus4,Pemaquid,DFucus4,184.1,,2.4,13.0,6.0,58.0,40.0
Pemaquid_DFucus5,Pemaquid,DFucus5,184.1,,2.4,14.0,15.0,10.0,40.0
Pemaquid_DFucus6,Pemaquid,DFucus6,184.1,,2.4,15.0,8.0,34.0,40.0
Pemaquid_Chondrus1,Pemaquid,Chondrus1,37.2,,2.5,15.0,48.0,49.0,40.0
Pemaquid_Chondrus2,Pemaquid,Chondrus2,66.4,,4.3,15.0,55.0,7.0,40.0
Pemaquid_Chondrus3,Pemaquid,Chondrus3,77.5,,3.3,16.0,2.0,9.0,40.0
Pemaquid_Chondrus4,Pemaquid,Chondrus4,92.4,,4.7,16.0,9.0,3.0,40.0
Pemaquid2_asco1,Pemaquid2,asco1,69.4,,3.0,,,,
Pemaquid2_asco2,Pemaquid2,asco2,146.7,,5.0,,,,
Pemaquid2_asco3,Pemaquid2,asco3,279.0,,6.0,,,,
Pemaquid2_asco4,Pemaquid2,asco4,209.3,,5.0,,,,
Pemaquid2_asco5,Pemaquid2,asco5,300.3,,7.0,,,,
Pemaquid2_asco6,Pemaquid2,asco6,564.7,,7.0,,,,
Pemaquid2_asco7,Pemaquid2,asco7,620.8,,9.0,,,,
Pemaquid2_asco8,Pemaquid2,asco8,700.7,,7.0,,,,
Pemaquid2_fucus1,Pemaquid2,fucus1,87.0,,3.0,,,,
Pemaquid2_fucus2,Pemaquid2,fucus2,107.8,,5.0,,,,
Pemaquid2_fucus3,Pemaquid2,fucus3,355.3,,7.0,,,,
Pemaquid2_fucus4,Pemaquid2,fucus4,449.2,,9.0,,,,
Pemaquid2_fucus5,Pemaquid2,fucus5,561.4,,9.0,,,,
Pemaquid2_fucus6,Pemaquid2,fucus6,599.2,,9.0,,,,
Pemaquid2_fucus7,Pemaquid2,fucus7,659.8,,9.0,,,,
Pemaquid2_fucus8,Pemaquid2,fucus8,699.2,,11.0,,,,
